,user_id,job_title,skill_name,rating
0,10520,'Data First' Project Team Member,problem solving,1
1,5526,(1635109) Border Force Officer -Heathrow Open on Level Transfer and Promotion,oral communication,1
2,11926,(ABW) Naval Base Systems Capability Manager,auditting,1
3,8766,(ABW) Senior ApplIcation Developer,agile project management,1
4,12249,(BC) Assistant Head Operational Policy - Africa and Crisis (ID-8),local policy,1
5,12598,(BC) Cyber Vulnerabilities Operations Cell Business Support I.D-6,time management,1
6,12598,(BC) Cyber Vulnerabilities Operations Cell Business Support I.D-6,communication,1
7,7391,"(BC) Defence Intelligence - D Band, Defence Open Source Intelligence Centre - RIPA Officer",generating documentation,1
8,13301,(BC) Defence Intelligence - Missiles Science and Technology Manager,financial controls,1
9,6886,(BC) Defence Support Chain Operations and Movements (DSCOM) Performance Manager (PM),test development,1
10,1707,(BC) Information and Governance Manager ABW,data,1
11,1716,(BC) Target Systems Analysis - Senior Analyst I.D-6,data acquisition,1
12,12595,(Borders & Trade Only) Classification HO Team Leader role,programme design,1
13,3648,(CCG ONLY) Operational Leader,stakeholder management,1
14,17293,(CCG Only) G7 Manager Development Lead,project management,1
15,1167,(CCG Only) HO Front Line Manager,management,1
16,1167,(CCG Only) HO Front Line Manager,stakeholder management,1
17,14097,(CCG Only) HO Project Lead,analysis,1
18,36,(CCG Only) SO Operational Leader,communicating risk,1
19,36,(CCG Only) SO Operational Leader,management,1
20,7072,(CCG only) G7 Management Capability Lead,project management,1
21,2154,(CCG only) Grade 7 Direct Tax Specialist,risk identification,1
22,17412,(CCG only) SO Operational Leader,management,1
23,16128,(CCG only) SO Operational Leader,stakeholder management,1
24,8799,(CDIO Only) G7 Business Management Lead,performance reporting,1
25,9179,(CFO Only) Commercial Finance and Cost Modelling Lead,relationship management,1
26,9179,(CFO Only) Commercial Finance and Cost Modelling Lead,cost estimating,1
27,9800,(CPO HR Operations only)  HR Operations Front Line Manager,customer support,1
28,9800,(CPO HR Operations only)  HR Operations Front Line Manager,"prioritise effectively, positions-constructively",1
29,3405,(CSG -B&C only) Temporary Technical Caseworker for TCs EFAP Quality,learning products,1
30,15739,"(CSG Only) BT&C Reporting, Resource & Assurance Team HO",leading change,1
31,10345,(CSG Only) CT Front Line Manager,working with senior managers,1
32,16265,(CSG Only) HO Design & Change Analyst,communicating risk,1
33,10854,(CSG only) - Debt Management - Technical Officer,produce guidance documents,1
34,2350,(CSG only) - Diary Manager to Deputy Director North,sensitive material,1
35,6098,(CSG only) - HO Operational Technical Training and Capability Manager,team mailbox management,1
36,17521,(CSG only) BT&C Service Development & Continuous Improvement Support Officer,behaviour change,1
37,8048,(CSG only) BT&C VAT Service development & Continuous Improvement Analyst,behaviour change,1
38,12091,(CSG only) BT&C VAT Service development & Continuous Improvement Analyst,relationship building,1
39,8048,(CSG only) BT&C VAT Service development & Continuous Improvement Analyst,relationship building,1
40,6406,(CSG only) Complaints Caseworker,case management,1
41,9504,(CSG only) Dedicated Business Expert (DBE) for Making Tax Digital,writing briefing notes,1
42,9180,(CSG only) Systems Analyst,process mapping,1
43,12330,(CSG only) WA & CSI Performance and Workflow,managing forecasting resources,1
44,7952,(Customer Services PT Operations only) -Team Leader,coaching,1
45,85,(Jobshare) Policy-Maker & Negotiator - Intellectual Property & Trade,planning,1
46,8691,(On Hold) Senior Data Engineer,user technology,1
47,11204,"(PfG) Programme, Governance & Communications Coordinator",sensitive material,1
48,990,(SD21/07) Business Manager(Copy),government accounting policy,1
49,990,(SD21/07) Business Manager(Copy),invoicing,1
50,13121,** Extended Closing Date** (IT) Operations Analyst,communicating risk,1
51,4255,*** Expression of Interest - Senior Policy Advisor - Youth Sector Renewal ***,research grants and funding,1
52,4718,**EOI** - Corporate Systems Project Manager,governance progammes,1
53,16757,**EXPRESSION OF INTEREST**** OPEN TO DBS STAFF ONLY**19.83 AO Customer Services Agent,writing briefing notes,1
54,8902,**EXPRESSION OF INTEREST**OPEN TO DBS STAFF ONLY** 191.32 AO Compliance Support Assistant **Extended closing date 12.01.2020**,analysis,1
55,143,**EXPRESSION OF INTEREST**OPEN TO DBS STAFF ONLY**19.90 TP SEO Senior Policy Advisor,investigations,1
56,2222,**EXPRESSION OF INTEREST**OPEN TO DBS STAFF ONLY**19.91 TP SEO Senior Research & Insight Manager,qualitative and quantitative analysis,1
57,2222,**EXPRESSION OF INTEREST**OPEN TO DBS STAFF ONLY**19.91 TP SEO Senior Research & Insight Manager,statistical data,1
58,6282,**OPEN TO DBS STAFF ONLY**  21.128 AO Assistant Finance Officer  (Expression of Interest),financial management,1
59,10033,**Open to DBS staff only** 191.34 TP HEO Regional Safeguarding Outreach Officer,information asset management,1
60,2040,*EoI*  Senior Strategic Communications Officer,sensitive material,1
61,1656,*EoI* Head of News,contract management,1
62,14658,*OPEN TO DBS STAFF ONLY* 20.37 TP EO Executive Assistant/ EO Legal Services Officer,communication,1
63,8608,*OPEN TO DBS STAFF ONLY* 20.44 (TP/Level Transfer)  - HEO Senior QAT Analyst,communicating risk,1
64,14785,*Open to DBS Staff Only* 21.64 - TP Head of Service (DMU),case management,1
65,10308,-- INDEX X-HMG (Stage 3) ADVERT TEMPLATE --,communicating risk,1
66,2729,.NET Developer,problem solving,1
67,2729,.NET Developer,business cases,1
68,452,.Net Developer,test development,1
69,664,1 MILITARY INTELLIGENCE BATTALION – WELFARE ADMINISTRATOR CLERK,delivery,1
70,664,1 MILITARY INTELLIGENCE BATTALION – WELFARE ADMINISTRATOR CLERK,prioritisation,1
71,7990,1 X Band E1 MDP Operational Support Unit,data,1
